Code,Region/Country/Area,Year,Series,Value,Footnotes,Source
2,Africa,2005,GDP in current prices (millions of US dollars),1127603.67,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2010,GDP in current prices (millions of US dollars),1968455.453,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2015,GDP in current prices (millions of US dollars),2306278.761,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2017,GDP in current prices (millions of US dollars),2234232.975,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2018,GDP in current prices (millions of US dollars),2365243.324,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,1985,GDP per capita (US dollars),1005.9255,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,1995,GDP per capita (US dollars),816.413,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2005,GDP per capita (US dollars),1232.7017,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2010,GDP per capita (US dollars),1896.7958,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2015,GDP per capita (US dollars),1953.1439,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2017,GDP per capita (US dollars),1798.1254,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2018,GDP per capita (US dollars),1856.2495,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,1985,GDP in constant 2010 prices (millions of US dollars),824665.3955,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,1995,GDP in constant 2010 prices (millions of US dollars),997744.1613,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2005,GDP in constant 2010 prices (millions of US dollars),1545861.007,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2010,GDP in constant 2010 prices (millions of US dollars),2022419.373,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2015,GDP in constant 2010 prices (millions of US dollars),2306278.761,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2017,GDP in constant 2010 prices (millions of US dollars),2429753.591,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2018,GDP in constant 2010 prices (millions of US dollars),2507127.327,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,1985,GDP real rates of growth (percent),3.66,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,1995,GDP real rates of growth (percent),2.6597,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2005,GDP real rates of growth (percent),6.2277,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
