Code,Region/Country/Area,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2016,Percentage of individuals using the internet,14.9954,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2017,Percentage of individuals using the internet,18.0356,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2018,Percentage of individuals using the internet,17.5692,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2000,Percentage of individuals using the internet,0.0907,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2005,Percentage of individuals using the internet,0.7177,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2010,Percentage of individuals using the internet,2.1271,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2015,Percentage of individuals using the internet,8.6898,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2016,Percentage of individuals using the internet,10.5736,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2017,Percentage of individuals using the internet,12.3647,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2018,Percentage of individuals using the internet,13.9238,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2000,Percentage of individuals using the internet,4.8518,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2005,Percentage of individuals using the internet,6.9752,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2010,Percentage of individuals using the internet,22.0126,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2015,Percentage of individuals using the internet,49.1226,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2016,Percentage of individuals using the internet,51.35,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2017,Percentage of individuals using the internet,54.6286,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2018,Percentage of individuals using the internet,54.947,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2000,Percentage of individuals using the internet,0.1325,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2005,Percentage of individuals using the internet,2.4667,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2010,Percentage of individuals using the internet,7.7325,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2015,Percentage of individuals using the internet,27.2079,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2017,Percentage of individuals using the internet,33.7149,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2018,Percentage of individuals using the internet,35.8218,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2000,Percentage of individuals using the internet,43.882,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2005,Percentage of individuals using the internet,68.3286,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2010,Percentage of individuals using the internet,72.5474,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2015,Percentage of individuals using the internet,76.1159,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2016,Percentage of individuals using the internet,86.1122,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2017,Percentage of individuals using the internet,87.6442,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2018,Percentage of individuals using the internet,89.1898,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,3.8905,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6266,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.6965,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.616,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2016,Percentage of individuals using the internet,57.3554,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2017,Percentage of individuals using the internet,63.2188,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2018,Percentage of individuals using the internet,66.3142,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2000,Percentage of individuals using the internet,2.9245,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2005,Percentage of individuals using the internet,12.53,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2010,Percentage of individuals using the internet,23.6549,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2015,Percentage of individuals using the internet,39.6129,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2016,Percentage of individuals using the internet,44.3707,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2017,Percentage of individuals using the internet,50.2022,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2018,Percentage of individuals using the internet,58.721,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2000,Percentage of individuals using the internet,3.9663,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2005,Percentage of individuals using the internet,16.9391,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2010,Percentage of individuals using the internet,35.5181,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2015,Percentage of individuals using the internet,55.6886,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2016,Percentage of individuals using the internet,58.2821,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2017,Percentage of individuals using the internet,64.1424,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2018,Percentage of individuals using the internet,66.8441,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2000,Percentage of individuals using the internet,2.9804,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2005,Percentage of individuals using the internet,9.0278,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2010,Percentage of individuals using the internet,22.621,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2015,Percentage of individuals using the internet,35.706,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2016,Percentage of individuals using the internet,39.5032,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2017,Percentage of individuals using the internet,45.2835,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2018,Percentage of individuals using the internet,47.2714,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2000,Percentage of individuals using the internet,0.506,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2005,Percentage of individuals using the internet,3.3227,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2010,Percentage of individuals using the internet,18.431,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2015,Percentage of individuals using the internet,43.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2016,Percentage of individuals using the internet,47.4378,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2017,Percentage of individuals using the internet,50.8842,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2018,Percentage of individuals using the internet,51.3321,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2000,Percentage of individuals using the internet,5.951,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2005,Percentage of individuals using the internet,16.1332,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2010,Percentage of individuals using the internet,39.4847,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2015,Percentage of individuals using the internet,54.4446,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2016,Percentage of individuals using the internet,57.1998,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2017,Percentage of individuals using the internet,58.6047,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2018,Percentage of individuals using the internet,59.1259,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2000,Percentage of individuals using the internet,0.4581,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2005,Percentage of individuals using the internet,2.8177,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2010,Percentage of individuals using the internet,7.977,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2015,Percentage of individuals using the internet,18.4207,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2016,Percentage of individuals using the internet,22.5935,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2017,Percentage of individuals using the internet,32.2654,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2018,Percentage of individuals using the internet,34.1241,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2000,Percentage of individuals using the internet,2.3838,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2005,Percentage of individuals using the internet,8.6736,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.8327,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.9145,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2016,Percentage of individuals using the internet,39.913,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2017,Percentage of individuals using the internet,45.3487,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2018,Percentage of individuals using the internet,48.1953,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2000,Percentage of individuals using the internet,0.4562,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2005,Percentage of individuals using the internet,2.7991,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2010,Percentage of individuals using the internet,7.5936,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2015,Percentage of individuals using the internet,17.4736,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2016,Percentage of individuals using the internet,21.6581,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2017,Percentage of individuals using the internet,31.5611,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2018,Percentage of individuals using the internet,33.4701,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2000,Percentage of individuals using the internet,3.6168,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2005,Percentage of individuals using the internet,11.1098,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2010,Percentage of individuals using the internet,32.6611,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2015,Percentage of individuals using the internet,56.5372,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2016,Percentage of individuals using the internet,54.4787,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2017,Percentage of individuals using the internet,62.6295,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2018,Percentage of individuals using the internet,67.6286,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2000,Percentage of individuals using the internet,15.2377,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2005,Percentage of individuals using the internet,39.7892,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2010,Percentage of individuals using the internet,61.3115,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2015,Percentage of individuals using the internet,74.2657,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2016,Percentage of individuals using the internet,76.3263,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2017,Percentage of individuals using the internet,78.4909,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2018,Percentage of individuals using the internet,82.0171,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2000,Percentage of individuals using the internet,34.719,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2005,Percentage of individuals using the internet,46.8856,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2010,Percentage of individuals using the internet,57.3387,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2015,Percentage of individuals using the internet,65.7064,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2016,Percentage of individuals using the internet,67.3884,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2017,Percentage of individuals using the internet,68.1514,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.8614,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2005,Percentage of individuals using the internet,62.9524,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7348,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2015,Percentage of individuals using the internet,85.1525,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2016,Percentage of individuals using the internet,86.8509,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2017,Percentage of individuals using the internet,87.23,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2018,Percentage of individuals using the internet,86.922,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2005,Percentage of individuals using the internet,1.2241,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2010,Percentage of individuals using the internet,4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2015,Percentage of individuals using the internet,8.26,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2016,Percentage of individuals using the internet,11.2,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2017,Percentage of individuals using the internet,13.5,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2000,Percentage of individuals using the internet,0.1141,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2005,Percentage of individuals using the internet,6.0439,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2010,Percentage of individuals using the internet,45,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2015,Percentage of individuals using the internet,63.2529,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2016,Percentage of individuals using the internet,66.3634,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2017,Percentage of individuals using the internet,71.847,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2000,Percentage of individuals using the internet,0.4917,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2005,Percentage of individuals using the internet,5.8439,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2010,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2015,Percentage of individuals using the internet,38.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2016,Percentage of individuals using the internet,42.9455,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2017,Percentage of individuals using the internet,47.6911,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2018,Percentage of individuals using the internet,49.0385,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2000,Percentage of individuals using the internet,10.5388,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2005,Percentage of individuals using the internet,37.6058,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2010,Percentage of individuals using the internet,81,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2015,Percentage of individuals using the internet,96.91,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2016,Percentage of individuals using the internet,97.9306,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2017,Percentage of individuals using the internet,91.5675,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2000,Percentage of individuals using the internet,0.105,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2005,Percentage of individuals using the internet,1.1434,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2010,Percentage of individuals using the internet,2.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2015,Percentage of individuals using the internet,12.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2016,Percentage of individuals using the internet,13,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2017,Percentage of individuals using the internet,14.3391,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2000,Percentage of individuals using the internet,22.4054,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2005,Percentage of individuals using the internet,29,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2010,Percentage of individuals using the internet,49.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2015,Percentage of individuals using the internet,75.98,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2016,Percentage of individuals using the internet,81.57,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.4822,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2016,Percentage of individuals using the internet,73,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2017,Percentage of individuals using the internet,76,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2000,Percentage of individuals using the internet,7.0387,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2005,Percentage of individuals using the internet,17.7206,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2010,Percentage of individuals using the internet,45,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2015,Percentage of individuals using the internet,68.0431,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2016,Percentage of individuals using the internet,70.969,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2017,Percentage of individuals using the internet,74.2949,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2000,Percentage of individuals using the internet,1.3005,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2005,Percentage of individuals using the internet,5.253,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2010,Percentage of individuals using the internet,25,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2015,Percentage of individuals using the internet,59.1024,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2016,Percentage of individuals using the internet,64.346,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2017,Percentage of individuals using the internet,64.7449,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2000,Percentage of individuals using the internet,15.4428,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2005,Percentage of individuals using the internet,25.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2010,Percentage of individuals using the internet,62,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2015,Percentage of individuals using the internet,88.6612,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2016,Percentage of individuals using the internet,93.5425,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2017,Percentage of individuals using the internet,97.17,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
36,Australia,2000,Percentage of individuals using the internet,46.7561,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
36,Australia,2005,Percentage of individuals using the internet,63,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
36,Australia,2010,Percentage of individuals using the internet,76,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
